kernel,omega_rad_s,H_ref_magnitude,H_ref_phase_rad,H_window_magnitude,H_endpoint_magnitude,H_tail_magnitude,operator_vs_window_rel_error,tail_estimator_vs_window_rel_error,window_vs_reference_rel_error,operator_vs_reference_rel_error
soe_two_scale,18.031988845791684,0.0443088040610069,-1.3059253374950845,0.044307580710083845,0.04430758071008394,0.04430758906150552,1.9645956690215514e-14,2.0144290141421365e-06,3.914955949535838e-05,3.9149559507637806e-05
soe_two_scale,26.85664822407418,0.03178317075853387,-1.3331758362406345,0.03178119963530995,0.03178119963530993,0.03178122535590584,8.799265027011002e-15,1.2744808678819095e-06,7.551176654205663e-05,7.551176653731377e-05
soe_two_scale,40.0,0.022701357249019952,-1.3724700857480736,0.022698260034199346,0.02269826003419875,0.022698262639291596,2.9449497150894026e-14,8.068857421334533e-07,0.00015171841580957648,0.00015171841583902062
powerlaw_alpha_0.70_tau_0.50,0.5,1.0005967011642274,-0.9525605405454828,0.8015095267594575,0.8015095267594573,0.9906632827745712,5.71118202054262e-16,0.3416041510780982,0.2057963537958993,0.20579635379589936
powerlaw_alpha_0.70_tau_0.50,0.7446945662442,0.784175715648616,-1.0178713755608395,0.9238587177428015,0.9238587177428017,0.7364371806330853,4.0307042173818626e-16,0.20669503230275935,0.1781321292957758,0.17813212929577604
powerlaw_alpha_0.70_tau_0.50,1.1091399939872744,0.6029660782642478,-1.087742731920385,0.5734146922705522,0.5734146922705524,0.6038871601528245,1.1331090319427707e-15,0.14777211513160077,0.15636018824713663,0.15636018824713754
powerlaw_alpha_0.70_tau_0.50,1.6519410534528962,0.45405391046979837,-1.1603745515275585,0.4445231628808637,0.4445231628808637,0.44103209966668433,5.033991999772655e-16,0.15892887426150826,0.13976545639704988,0.13976545639705035
powerlaw_alpha_0.70_tau_0.50,2.4603830525241825,0.33447459699272064,-1.233163135981298,0.3374197165674563,0.3374197165674563,0.34027357480523784,3.6787034535235432e-16,0.11750191795238138,0.12753948088953881,0.12753948088953843
powerlaw_alpha_0.70_tau_0.50,3.664467780188153,0.24102580407740642,-1.3028699538248378,0.21332931503844205,0.21332931503844188,0.2403354568647684,8.330894369407598e-16,0.135716487820615,0.11889866051932545,0.11889866051932603
powerlaw_alpha_0.70_tau_0.50,5.4578184881661285,0.17016702283303353,-1.3661027310208895,0.18871267268168515,0.18871267268168518,0.17092262136006076,4.96158349342843e-15,0.09722347548747999,0.11309687897049345,0.11309687897049497
powerlaw_alpha_0.70_tau_0.50,8.1288155433689,0.11807216851177563,-1.4200691144319282,0.1304726127657746,0.13047261276577457,0.11773944109021826,8.946448726712736e-15,0.10225977348984815,0.10944652751045067,0.10944652751044782
powerlaw_alpha_0.70_tau_0.50,12.106969530296427,0.08085252620177356,-1.4633150567601452,0.07557084849613861,0.07557084849613856,0.08067500443994742,5.168122737396146e-15,0.11586811001104289,0.10733223701382938,0.1073322370138259
powerlaw_alpha_0.70_tau_0.50,18.031988845791684,0.05487669995200181,-1.4960141531625057,0.06044268144536605,0.06044268144536641,0.05494316729696861,1.9083006155570982e-14,0.0950013584074142,0.10614271303446615,0.10614271303447805
powerlaw_alpha_0.70_tau_0.50,26.85664822407418,0.03704952774342316,-1.5196102378111438,0.03844182898559875,0.038441828985598794,0.03699314924079102,1.006945577807128e-14,0.1025599501750542,0.10556631958198442,0.10556631958197535
powerlaw_alpha_0.70_tau_0.50,40.0,0.024942387593743773,-1.536095016001014,0.02710474877770121,0.02710474877770047,0.02494918244434204,2.8910639064539574e-14,0.09627428365112951,0.10518710645712312,0.10518710645710391
